index,category,question,elapsed_sec,source_count,structured_count,graph_path_count,semantic_count,query_type,limit_mode,warning_count,error,claim_count
1,責任歸屬型,Person_704118B2B1 負責哪些項目？,27.9884,17,17,17,0,relation_lookup,auto:relation,0,,17
2,責任歸屬型,Person_F03E4ECA0A 負責哪些項目？,27.6345,11,11,11,0,relation_lookup,auto:relation,0,,11
3,責任歸屬型,Person_BDFC2032C6 負責哪些項目？,9.9583,5,5,5,0,relation_lookup,auto:relation,0,,5
4,時程狀態型,2017 年 12 月 15 日要完成哪些事項？,27.0247,5,5,5,0,relation_lookup,auto:relation,1,,5
5,時程狀態型,2016 年 06 月 05 日要完成哪些事項？,22.6864,7,7,7,0,relation_lookup,auto:relation,1,,7
6,時程狀態型,完成日期為 2018-04-13 的事項有哪些？,17.505,1,1,1,0,composite_query,auto:composite,1,,1
7,關鍵詞探索型,stem 相關的會議項目有哪些？,23.2833,25,20,25,0,relation_lookup,auto:relation,1,,25
8,關鍵詞探索型,Locking cage 相關的會議項目有哪些？,54.5949,10,10,10,10,keyword_exploration,auto:keyword,0,,10
9,關鍵詞探索型,提及 Taper length 相關的會議項目有哪些？,47.5029,1,1,1,1,keyword_exploration,auto:keyword,0,,1
10,產品或法規關聯型,CE 相關會議項目有哪些？,21.6893,3,3,3,0,relation_lookup,auto:relation,1,,3
11,產品或法規關聯型,FDA 相關會議項目有哪些？,26.9476,10,10,10,10,keyword_exploration,auto:keyword,1,,10
12,產品或法規關聯型,TFDA 相關會議項目有哪些？,36.6397,10,10,10,10,keyword_exploration,auto:keyword,1,,10
13,開放模糊型／語意相似型,P1812 Coformity stem 會議進度與會議摘要,68.805,9,9,9,9,meeting_summary,auto:meeting_summary,2,,9
14,開放模糊型／語意相似型,Locking cage 設計移轉會議摘要,66.8293,7,7,7,7,meeting_summary,auto:meeting_summary,1,,7
15,開放模糊型／語意相似型,Fatigue test 相關事項摘要,18.3169,1,1,1,1,keyword_exploration,auto:keyword,0,,1
16,資料不足型,Person_DEADBEEF00 負責哪些項目？,5.3206,0,0,0,0,relation_lookup,auto:relation,0,,0
17,資料不足型,2099 年 01 月 01 日要完成哪些事項？,8.0421,0,0,0,0,relation_lookup,auto:relation,1,,0
18,資料不足型,Regulation_FAKE000000 相關會議項目有哪些？,8.0404,0,0,0,0,structural_list,auto:structural_list,1,,0
